question,answer,Cleaned_Question,Cleaned_Answer
What is mental health?,Mental health includes our emotional psychological and social well-being. It affects how we think feel and act and helps determine how we handle stress relate to others and make choices.,what is mental health,mental health includes our emotional psychological and social wellbeing it affects how we think feel and act and helps determine how we handle stress relate to others and make choices
What are the signs of depression?,Common signs of depression include persistent sadness loss of interest in activities changes in appetite or sleep fatigue difficulty concentrating feelings of worthlessness and in severe cases thoughts of self-harm.,what are the signs of depression,common signs of depression include persistent sadness loss of interest in activities changes in appetite or sleep fatigue difficulty concentrating feelings of worthlessness and in severe cases thoughts of selfharm
How can I manage anxiety?,You can manage anxiety through deep breathing exercises mindfulness meditation regular physical exercise adequate sleep limiting caffeine and alcohol and talking to a therapist or counselor.,how can i manage anxiety,you can manage anxiety through deep breathing exercises mindfulness meditation regular physical exercise adequate sleep limiting caffeine and alcohol and talking to a therapist or counselor
What is the difference between stress and anxiety?,Stress is typically caused by an external trigger and goes away once the situation is resolved. Anxiety persists even without a specific cause and can interfere with daily life.,what is the difference between stress and anxiety,stress is typically caused by an external trigger and goes away once the situation is resolved anxiety persists even without a specific cause and can interfere with daily life
How does exercise help mental health?,Exercise releases endorphins which are natural mood lifters. It reduces stress hormones like cortisol improves sleep boosts self-esteem and provides a healthy distraction from negative thoughts.,how does exercise help mental health,exercise releases endorphins which are natural mood lifters it reduces stress hormones like cortisol improves sleep boosts selfesteem and provides a healthy distraction from negative thoughts
What is mindfulness?,Mindfulness is the practice of being fully present and aware of your thoughts feelings and surroundings without judgment. It helps reduce stress anxiety and depression.,what is mindfulness,mindfulness is the practice of being fully present and aware of your thoughts feelings and surroundings without judgment it helps reduce stress anxiety and depression
How can I improve my sleep for better mental health?,Maintain a consistent sleep schedule avoid screens before bed create a comfortable sleep environment limit caffeine and practice relaxation techniques like deep breathing or meditation before sleeping.,how can i improve my sleep for better mental health,maintain a consistent sleep schedule avoid screens before bed create a comfortable sleep environment limit caffeine and practice relaxation techniques like deep breathing or meditation before sleeping
What is cognitive behavioral therapy?,Cognitive behavioral therapy or CBT is a type of psychotherapy that helps people identify and change negative thought patterns and behaviors. It is effective for treating depression anxiety PTSD and other conditions.,what is cognitive behavioral therapy,cognitive behavioral therapy or cbt is a type of psychotherapy that helps people identify and change negative thought patterns and behaviors it is effective for treating depression anxiety ptsd and other conditions
How can I support a friend with mental illness?,Listen without judgment offer your presence and support encourage them to seek professional help educate yourself about their condition avoid minimizing their feelings and check in on them regularly.,how can i support a friend with mental illness,listen without judgment offer your presence and support encourage them to seek professional help educate yourself about their condition avoid minimizing their feelings and check in on them regularly
What are panic attacks?,Panic attacks are sudden episodes of intense fear that trigger severe physical reactions such as rapid heartbeat shortness of breath dizziness and trembling. They can occur without an obvious cause.,what are panic attacks,panic attacks are sudden episodes of intense fear that trigger severe physical reactions such as rapid heartbeat shortness of breath dizziness and trembling they can occur without an obvious cause
