job_id,title,company,location,skills_required,experience_required,salary_min,salary_max,job_type,description,apply_link
1,Python Developer,Systems Limited,Lahore,Python Django REST API SQL PostgreSQL,2,80000,120000,Full-time,Looking for a skilled Python developer to build scalable web applications using Django framework and REST APIs.,https://www.linkedin.com/jobs/search/?keywords=Python+Developer&location=Lahore%2C+Pakistan
2,Data Scientist,Netsol Technologies,Lahore,Python Machine Learning TensorFlow Scikit-learn SQL Statistics,3,100000,150000,Full-time,Join our data team to build ML models and extract business insights from large datasets.,https://www.linkedin.com/jobs/search/?keywords=Data+Scientist&location=Lahore%2C+Pakistan
3,Frontend Developer,Arbisoft,Lahore,React JavaScript HTML CSS Bootstrap Tailwind,1,60000,90000,Full-time,Build beautiful and responsive user interfaces for our SaaS products used by clients worldwide.,https://www.linkedin.com/jobs/search/?keywords=Frontend+Developer&location=Lahore%2C+Pakistan
4,Full Stack Developer,Techlogix,Islamabad,Node.js React MongoDB Express Python JavaScript,3,90000,140000,Full-time,Work on end-to-end web development using modern JavaScript and Python stack for enterprise clients.,https://www.linkedin.com/jobs/search/?keywords=Full+Stack+Developer&location=Islamabad%2C+Pakistan
5,Machine Learning Engineer,10Pearls,Karachi,Python TensorFlow PyTorch Deep Learning NLP Computer Vision,4,120000,180000,Full-time,Build and deploy production-grade ML models for our AI-powered products serving global markets.,https://www.linkedin.com/jobs/search/?keywords=Machine+Learning+Engineer&location=Karachi%2C+Pakistan
6,DevOps Engineer,Contour Software,Lahore,Docker Kubernetes AWS CI/CD Linux Jenkins Terraform,3,100000,160000,Full-time,Manage cloud infrastructure and deployment pipelines for enterprise software products.,https://www.linkedin.com/jobs/search/?keywords=DevOps+Engineer&location=Lahore%2C+Pakistan
7,Android Developer,VentureDive,Karachi,Java Kotlin Android SDK Firebase REST API Retrofit,2,70000,110000,Full-time,Develop high-quality Android applications for our mobile-first clients across various industries.,https://www.linkedin.com/jobs/search/?keywords=Android+Developer&location=Karachi%2C+Pakistan
8,iOS Developer,Folio3,Karachi,Swift Objective-C Xcode iOS SDK CoreData ARKit,2,80000,120000,Full-time,Create polished iOS applications from design to App Store deployment for international clients.,https://www.linkedin.com/jobs/search/?keywords=iOS+Developer&location=Karachi%2C+Pakistan
9,Business Analyst,Inbox Business Technologies,Islamabad,SQL Excel PowerBI Requirements Analysis Communication JIRA,2,60000,90000,Full-time,Bridge the gap between business needs and technical solutions through detailed requirements analysis.,https://www.linkedin.com/jobs/search/?keywords=Business+Analyst&location=Islamabad%2C+Pakistan
10,UI UX Designer,Tkxel,Lahore,Figma Adobe XD User Research Prototyping CSS Design Systems,2,65000,100000,Full-time,Design intuitive digital experiences for web and mobile platforms with focus on user-centered design.,https://www.linkedin.com/jobs/search/?keywords=UI+UX+Designer&location=Lahore%2C+Pakistan
